stt,Vaccine,TR1,TR2,TR3,TR4,TR5,TR6,PRC1,PRC2,PRC3,PRC4,PRC5,PRC6,PV1,PV2,PV3,PV4,PV5,PV6,SO1,SO2,SO3,SN1,SN2,SN3,INT1,INT2,INT3,GENDER,AGE,JOB,EDU,INCOME,,,,,,,
71,1,4,4,3,3,3,4,5,5,4,4,4,3,5,5,5,5,5,5,3,4,3,4,3,2,5,4,5,0,1,2,3,1,,,,,,,
72,4,4,4,3,4,4,3,3,4,3,4,3,3,4,4,4,4,4,4,4,3,3,3,4,3,4,3,4,0,1,5,2,2,,,,,,,
73,4,4,5,4,5,4,5,4,5,4,4,4,5,4,5,4,5,5,4,4,5,4,5,4,4,4,4,4,0,1,1,2,2,,,,,,,
74,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,2,2,,,,,,,
75,1,4,4,3,3,3,3,4,3,3,3,4,2,4,3,2,4,3,4,3,4,2,4,2,3,3,2,4,1,1,1,1,2,,,,,,,
76,1,4,4,3,3,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,4,4,5,5,5,0,1,5,2,4,,,,,,,
77,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,5,2,3,5,5,5,0,1,5,3,4,,,,,,,
78,1,4,4,4,4,3,4,5,5,4,4,4,4,5,5,5,5,5,5,5,5,3,3,3,2,4,4,4,0,1,5,2,2,,,,,,,
79,1,5,4,4,4,4,3,4,4,5,4,4,5,4,4,5,5,5,4,4,4,4,4,4,3,2,4,2,1,1,5,1,2,,,,,,,
80,1,4,5,5,5,4,5,3,4,4,4,2,4,5,5,5,5,5,5,5,5,5,4,3,2,5,5,5,1,1,3,2,1,,,,,,,
81,1,3,3,3,3,4,3,4,4,4,4,3,3,3,4,4,4,4,5,4,4,4,5,5,4,4,4,4,1,3,5,2,3,,,,,,,
82,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,3,3,3,3,2,3,5,5,5,0,1,1,2,2,,,,,,,
83,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,2,,,,,,,
84,2,4,3,3,3,2,4,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,4,4,5,3,5,5,0,1,1,2,2,,,,,,,
85,1,4,4,5,3,3,3,5,5,5,5,3,4,4,5,5,5,5,5,3,5,5,5,5,3,5,5,5,0,1,5,3,2,,,,,,,
86,1,4,4,5,4,4,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,0,1,1,2,2,,,,,,,
87,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,2,2,,,,,,,
88,4,4,4,3,3,4,4,4,4,3,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,5,1,2,5,3,3,,,,,,,
89,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,2,2,,,,,,,
90,4,1,1,3,3,3,2,1,2,1,1,2,2,1,1,2,1,1,1,1,2,3,2,2,3,1,1,1,0,2,5,2,4,,,,,,,
91,1,2,2,3,3,3,3,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,0,1,1,2,2,,,,,,,
92,2,5,5,5,5,3,3,5,5,5,5,5,3,5,3,5,5,5,5,5,5,5,1,1,1,5,5,5,0,1,1,2,2,,,,,,,
93,1,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,1,2,2,2,,,,,,,
94,2,5,5,5,5,5,5,5,5,3,3,4,4,3,4,3,4,3,4,5,5,5,5,3,5,3,3,4,0,1,5,2,2,,,,,,,
95,4,5,5,5,5,3,5,5,5,5,5,1,4,4,4,4,4,4,4,5,5,5,5,5,2,5,5,5,1,1,1,2,2,,,,,,,
96,4,5,5,5,5,4,4,4,5,5,2,2,4,5,5,5,5,5,5,5,2,3,1,1,1,5,5,5,1,1,1,2,2,,,,,,,
97,4,4,3,3,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3,4,4,1,1,4,4,0,1,1,2,2,,,,,,,
98,1,4,3,4,4,5,5,5,5,3,5,4,3,5,3,5,5,5,5,4,5,2,5,5,5,5,5,5,0,1,1,2,2,,,,,,,
99,1,5,5,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,2,5,4,4,,,,,,,
100,1,4,4,4,4,3,5,5,5,1,4,1,4,5,5,5,5,5,5,4,3,3,4,4,4,5,5,5,1,1,1,2,2,,,,,,,
101,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,2,2,,,,,,,
102,1,5,5,5,5,4,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,3,3,3,5,5,5,0,1,1,2,2,,,,,,,
103,1,5,5,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,1,1,3,2,,,,,,,
104,4,4,4,4,5,4,4,5,4,4,3,3,5,4,4,3,4,4,4,4,3,5,4,3,3,1,5,4,1,1,1,1,2,,,,,,,
105,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1,3,4,,,,,,,
106,2,5,5,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,0,1,1,2,2,,,,,,,
107,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,5,4,4,4,5,5,4,3,4,4,4,1,1,2,2,2,,,,,,,
108,1,5,4,4,5,4,4,5,5,5,5,3,4,5,5,5,5,5,5,4,2,5,3,3,3,5,3,5,1,1,1,2,2,,,,,,,
109,2,5,5,5,5,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,1,1,1,2,2,,,,,,,
110,1,5,5,4,5,4,5,5,4,5,5,3,4,5,5,5,5,5,5,5,5,5,5,3,3,2,4,5,0,1,1,2,2,,,,,,,
111,1,5,5,4,4,3,4,3,3,4,2,4,3,4,4,3,3,4,4,4,4,3,3,3,4,4,3,3,0,1,5,2,1,,,,,,,
112,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,5,5,5,5,5,5,2,2,2,5,5,5,1,1,5,3,3,,,,,,,
113,1,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,1,1,1,2,2,,,,,,,
114,1,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,5,4,0,1,1,2,2,,,,,,,
115,1,4,4,5,4,4,4,5,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,2,2,,,,,,,
116,1,4,4,4,4,3,5,5,4,3,5,3,4,5,5,5,5,5,5,4,3,4,4,4,3,5,4,5,1,2,5,3,4,,,,,,,
117,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,5,2,4,,,,,,,
118,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,2,2,,,,,,,
119,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,5,4,4,4,4,4,5,5,5,1,1,1,2,2,,,,,,,
120,4,5,5,3,3,4,3,5,3,4,3,4,3,3,4,3,4,3,3,3,5,3,5,4,3,5,3,3,0,1,1,2,2,,,,,,,
121,1,4,4,3,4,4,5,4,3,5,4,4,5,5,5,4,4,5,5,3,4,4,3,3,3,1,3,4,0,1,1,2,2,,,,,,,
122,1,4,4,4,3,3,3,4,5,4,4,3,3,4,4,4,4,4,5,4,3,3,4,3,3,3,4,4,0,1,1,2,2,,,,,,,
123,2,4,3,3,4,4,4,5,5,3,5,5,4,4,5,4,5,5,5,4,4,5,5,5,4,5,4,4,1,2,1,4,4,,,,,,,
124,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,1,1,1,2,2,,,,,,,
